Iterations,Latency,timestamps
0,39.484550000000006,532.5069360733032
1,37.42864999999999,1074.3589146137238
2,39.13865,1611.727695941925
3,36.72431666666667,2155.0269203186035
4,35.65975952380952,2704.3149123191833
5,34.38662380952381,3260.446962594986
6,33.97057063492063,3821.2749712467194
7,33.751669047619046,4384.386917352676
8,33.64320341510341,4950.62290430069
9,33.42339038800706,5520.314915418625
10,33.10138374557541,6094.862918138504
11,33.3145035926155,6675.42290186882
12,32.50600359261549,7258.898969173431
