Iterations,Latency,timestamps
0,37.3975,541.2354078292847
1,35.3804,1083.8634226322174
2,41.124700000000004,1629.723402261734
3,45.904966666666674,2178.9393842220306
4,31.949509523809517,2740.5474197864532
5,47.91507380952381,3295.707395553589
6,31.783089417989412,3863.479421854019
7,30.918537830687825,4437.571394205093
8,49.076306565656566,5003.703382253647
9,31.29024080888247,5584.335395812988
10,29.046438594738596,6163.22688293457
11,5.93555844177868,6669.358689069748
12,5.9351999809787515,7174.830184459686
