Iterations,Latency,timestamps
0,12.324599999999998,560.1140048503876
1,13.713350000000002,1091.7940044403076
2,14.9154,1615.5499904155731
3,14.838233333333331,2159.218000650406
4,14.87850714285714,2680.7154109477997
5,15.013871428571429,3202.6314222812653
6,15.09749947089947,3726.4474115371704
7,15.004280687830686,4259.475402355194
8,15.037441606541606,4787.259402751923
9,15.119460092993426,5316.5313947200775
10,15.04879902227402,5847.803376913071
11,14.927238716354193,6381.975406169891
12,15.13645194771425,6917.279393672943
