Iterations,Latency,timestamps
0,16.5396,553.8548655509949
1,20.486449999999998,1078.6668462753296
2,22.288549999999997,1600.5508930683136
3,22.183533333333333,2124.3628392219543
4,21.416245238095236,2650.4089221954346
5,20.997971428571425,3178.095350265503
6,21.371733862433864,3708.7788722515106
7,21.11766507936508,4243.402844905853
8,20.866249446849444,4778.741232633591
9,20.791952176527175,5317.910888433456
10,20.970647748239415,5864.414867639542
11,20.93780251879954,6410.402868032455
12,21.170130826639554,6955.762839317322
