Iterations,Latency,timestamps
0,47.09455000000001,472.08996772766113
1,94.32579999999999,940.5859825611115
2,55.1965,1436.0139412879944
3,57.33760000000001,1915.1979484558105
4,87.06481428571428,2367.5780143737793
5,85.59312976190475,2836.7762393951416
6,54.54866296296298,3317.779189825058
7,79.53512972883598,3783.2499685287476
8,47.4248771434584,4274.017966032028
9,45.55894819299142,4764.909954071045
10,44.08060201742702,5260.581959247589
11,42.53505271884752,5764.489973783493
12,42.620460926131116,6269.113965988159
