Iterations,Cost,timestamps
0,35.40945000000001,481.5328233242035
1,61.19349999999999,939.5594568252563
2,87.1394,1378.5228259563446
3,505.1212833333333,1805.7630789279938
4,101.6982,2242.390439748764
5,484.01346190476187,2670.2674322128296
6,103.48530595238094,3130.9175157546997
7,57.75248343253969,3588.063488006592
8,125.11545942460319,4028.2681596279144
9,69.75429737979998,4479.799705505371
10,69.9718964668048,4932.281152963638
11,71.77001717796368,5384.61892747879
12,70.90248078925457,5837.413700580597
