Iterations,Cost,timestamps
0,38.9835,481.1058986186981
1,42.1559,967.0947625637054
2,44.88449999999999,1432.8855946063995
3,171.4397,1870.7012979984283
4,259.51092857142856,2303.484018087387
5,109.66441071428571,2757.837618112564
6,568.2272058862434,3186.510092020035
7,136.27718541666664,3627.6081624031067
8,40.577162463924964,4119.548276185989
9,38.66990590377986,4611.80011677742
10,37.99780740725324,5108.783524274826
11,37.506525572559056,5610.161718845367
12,37.50273030086646,6113.441592693329
