Iterations,Cost,timestamps
0,42.56750000000001,479.968709230423
1,200.43219999999997,916.4030168056488
2,293.6562,1350.4519696235657
3,230.89636666666667,1798.7978703975677
4,592.4602000000001,2235.5575907230377
5,605.7554499999999,2668.027981042862
6,609.7044999999999,3094.418483018875
7,621.0853765211639,3520.761111974716
8,625.8479396013709,3947.214102268219
9,576.9365624113154,4380.332253217697
10,509.62072045971007,4815.194077253342
11,440.32676269250896,5252.213582277298
12,409.3830580539885,5687.258269071579
